epoch,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1,learning_rate
1,1.3924726266906813,0.2511469152567255,0.2502961170959073,1.3896027672950229,0.2267536704730832,0.09242021276595744,0.0002999262307746768
2,1.3891356946717894,0.2522846551913972,0.24572024492125127,1.3869495321836984,0.24974047160017795,0.10020810302360311,0.00029970499590002654
3,1.388289522121914,0.2506330972217125,0.24532117375462645,1.3870451620419584,0.26887142221563104,0.2167026332170513,0.0002993365137081604
4,1.2524713750243794,0.40419128711417773,0.3990185588033468,0.9817865880557873,0.6038855109001928,0.6033744187608623,0.0002988211478465144
5,0.8497489409481367,0.6783132087936287,0.6804068818858211,0.7951687486477922,0.6964259231795936,0.6904848424976827,0.000298159406918973
6,0.7161231342095097,0.736044335156164,0.7372055650625969,0.7144418818433896,0.7357259380097879,0.7359543361910317,0.0002973519439839389
7,0.6572899535852349,0.7618820420596762,0.7630500142685326,0.6652391962767814,0.75619160611004,0.7565655243296757,0.00029639955590984266
8,0.6059932892758391,0.7807465042022975,0.7818795396216387,0.6857549937196925,0.7604923624499481,0.7625749427330801,0.00029530318258873023
9,0.5683612058997203,0.7985833302748927,0.7994575278210979,0.6305314887485748,0.7762123683820258,0.7776842332587166,0.0002940639060087029
10,0.5317048321851972,0.8109516644034206,0.8118280524121152,0.6646550623847808,0.7769538780958031,0.7793589194007532,0.00029268294918612537
11,0.5015404909104301,0.8232098946673029,0.8238954928232072,0.6576098598806118,0.7803648227791784,0.7790786897976256,0.00029116167495865663
12,0.47590678708900785,0.8331192424854112,0.8336704339067872,0.6109003203546861,0.7864452024321519,0.7858150498196067,0.0002895015846402935
13,0.45655627822413963,0.8394318640584284,0.8400017626687905,0.6176771169347984,0.7885214296307281,0.790072116880119,0.0002877043165397551
14,0.4293482242870642,0.8513230814401586,0.8517892897003528,0.6409688077250477,0.7812546344357111,0.7800972243980344,0.0002857716443436699
15,0.4072426680460297,0.8585532352185562,0.8588713625219689,0.6009507161045391,0.8012753967076969,0.8015083519120045,0.00028370547536616097
16,0.39332442518594235,0.8646823503504973,0.8649973521513512,0.6120995873736996,0.8072074744179148,0.8068300697931374,0.00028150784866655756
17,0.37252416591292176,0.8721694131464014,0.8724018137841691,0.6500024246296374,0.8040931336200504,0.8052537817523775,0.00027918093303708956
18,0.3552484009954283,0.8789591514662165,0.8791509557831707,0.6071855642368881,0.8008304908794305,0.8022529528731452,0.00027672702486255125
19,0.3365367656952307,0.8836202150695489,0.88378529292089,0.6324477408461944,0.8066142666468931,0.8070232398349397,0.000274148545854047
20,0.32613826799612333,0.8874371490439315,0.887524363359,0.6072570144424103,0.8049829452765831,0.8042962437722911,0.00027144804065905466
21,0.3059184695618452,0.8942635886519616,0.894305926800473,0.7516553337460219,0.7987542636808542,0.7972577965024259,0.0002686281743501657
22,0.2929963664466772,0.8991448599845855,0.8991142617784948,0.704093016569142,0.7951950170547234,0.7954982542843106,0.0002656917297949805
23,0.2823746977128882,0.9035123132821962,0.9034982713566614,0.7220303477838483,0.7965297345395225,0.796151094960698,0.0002626416049097537
24,0.27059064588665055,0.9064117150511983,0.9064221426948501,0.6507768354963014,0.8011270947649414,0.8016986148301333,0.00025948080979950103
25,0.2507897744903907,0.9136051675413807,0.913569148432681,0.6747937819725873,0.8121014385288448,0.8123163122221325,0.00025621246378738883
26,0.23955865147019997,0.9177891143979153,0.917709361818295,0.7189860186082009,0.7996440753373869,0.7986178396111161,0.00025283979233633894
27,0.2295858314819422,0.9213858406430065,0.921343937796711,0.7737637723615275,0.8011270947649414,0.8014316626569099,0.0002493661238658859
28,0.21569979782563356,0.9264506184167064,0.9263952746283491,0.742918566888082,0.7898561471155272,0.7869745844890341,0.0002457948864674291
29,0.20374780706398185,0.9302308511028737,0.9301376114460986,0.7826804103619547,0.8012753967076969,0.8006107115085701,0.00024212960452111996
30,0.19145385596311765,0.9349286159944215,0.9348912819983428,0.7486340325448928,0.7986059617380987,0.7980368662123407,0.00023837389521772471
31,0.18159864196739017,0.9383785370866518,0.9383150654099769,0.9017060795790887,0.8023135103069851,0.8025894675902389,0.0002345314649888935
32,0.17328179923443374,0.9408375233970713,0.9408011924435228,0.849404759561425,0.8033516239062731,0.8036719728035753,0.00023060610584935994
33,0.16640033144012312,0.9434066135721364,0.9433522184485554,0.9231776378327301,0.797716150081566,0.7981471452041828,0.00022660169165468046
34,0.15698937540750493,0.9453517818475429,0.9452966341301389,0.8787830305887527,0.7923772801423699,0.7920377634477003,0.00022252217427820638
35,0.13979707735238542,0.9525452343377252,0.952505630385656,0.9738160179465668,0.7917840723713481,0.7922232655403371,0.0002183715797110622
36,0.1414859420878824,0.9532425588138144,0.9532268648140785,0.9723039220797013,0.7926738840278807,0.7928412678142563,0.00021415400408897832
37,0.12887236140863906,0.9570594927881969,0.9570408937546724,1.0031620659167257,0.7980127539670769,0.7977342088574073,0.00020987360964989967
38,0.12150945013815773,0.9585642456050207,0.9585264890750942,1.0516572091780934,0.7956399228829898,0.7965852730758827,0.00020553462062635936
39,0.1182193984136209,0.9607663228979337,0.9607668252997346,1.035010710685128,0.7954916209402343,0.7946817479630969,0.00020114131907667107
40,0.1081134827186345,0.9651337761955444,0.9651233866028122,1.0934506629510938,0.800978792822186,0.800974705397778,0.00019669804065905463
41,0.10533069414894844,0.9664550225712922,0.9664276488242602,1.0533462327239413,0.8003855850511642,0.8002371582255184,0.00019220917035286478
42,0.10126558793388409,0.9682533856938379,0.9682462942391885,1.1562689671616924,0.7959365267685007,0.7966484453668377,0.00018767913813114574
43,0.09121398371648591,0.9709325797335486,0.9709215983183731,1.156595608314805,0.7937119976271689,0.7942621247661917,0.0001831124145887831
44,0.08793087028743289,0.9730612544500312,0.973038387686702,1.1359675907161533,0.7911908646003263,0.7914290722552797,0.00017851350653056583
45,0.08633119080505681,0.9739053840789812,0.9738957603099145,1.166476162467895,0.7892629393445054,0.7894079371652436,0.0001738869525235145
46,0.07719093865459671,0.9757771497779572,0.9757864300450914,1.2295663342937544,0.7940086015126798,0.7924205555894002,0.0001692373184178635
47,0.07693927960601095,0.9769515910008442,0.9769610990729798,1.3520817726817844,0.797716150081566,0.7966898554047536,0.00016456919284111787
48,0.06757699286591641,0.979814291481631,0.9798166969825974,1.3320567463742174,0.7990508675663651,0.7988646648547106,0.00015988718266963235
49,0.06416491342676134,0.9807685249752266,0.9807605289475625,1.3244551669594458,0.805279549162094,0.8051337096862858,0.00015519590848218017
50,0.0663381240971833,0.9805116159577201,0.9805241331587495,1.4724878292669858,0.7947501112264571,0.7950561986034007,0.0001505
51,0.06221529308420139,0.9813190442984548,0.9813147421974785,1.3642580692818316,0.7989025656236096,0.7992593126099702,0.00014580409151781983
52,0.05807082396314471,0.9826035893859875,0.9826171201206583,1.4645153675185887,0.7947501112264571,0.7959316566526901,0.00014111281733036765
53,0.05340443762368236,0.9843285499321026,0.9843399652789913,1.441587955788431,0.7968263384250334,0.7968052036432258,0.0001364308071588821
54,0.05224375490812424,0.9850992769846222,0.985106512283248,1.491734289985967,0.7954916209402343,0.7955234261442576,0.00013176268158213652
55,0.04346467802256279,0.9867141336660917,0.9867144120786268,1.5152484612592172,0.8043897375055613,0.8045239350876399,0.00012711304747648549
56,0.04679303024739796,0.9866407310896612,0.9866392922994446,1.550773250701386,0.7990508675663651,0.7995117713960452,0.00012248649346943417
57,0.04133689611778374,0.9880353800418394,0.9880507985108271,1.6033443785525292,0.799347471451876,0.799200780826659,0.00011788758541121693
58,0.04017440507174402,0.9883656916357764,0.9883738780784679,1.5181874318800956,0.7968263384250334,0.7965588494945948,0.00011332086186885419
59,0.037718573386427416,0.9895768341468786,0.989587577178332,1.7938845817248594,0.7935636956844134,0.7938291631561483,0.00010879082964713523
60,0.03497756527648665,0.9906411715051199,0.9906382854894087,1.8635867566821513,0.7873350140886846,0.7884872527815466,0.0001043019593409454
61,0.036028719632639566,0.9899071457408155,0.989903287890767,1.6943058220966802,0.7983093578525878,0.7989756109223183,9.985868092332894e-05
62,0.030004653439945773,0.9911916908283481,0.9911843522383901,1.7453164627787583,0.7962331306540116,0.7961162338584282,9.546537937364069e-05
63,0.03143717083934858,0.9913017946929937,0.9913028211870276,1.684072019169783,0.8030550200207622,0.8028504130950205,9.112639035010029e-05
64,0.03115983754773794,0.9916321062869307,0.9916334124717944,1.698053724391236,0.7941569034554352,0.7949382186358744,8.684599591102165e-05
65,0.026854003259461835,0.992696443645172,0.9926966627178173,1.7740633639783627,0.7928221859706363,0.7937042510564906,8.262842028893778e-05
66,0.02521518320933087,0.9934671706976915,0.9934790142103589,1.8899871704152078,0.7900044490582827,0.7908120477068599,7.847782572179355e-05
67,0.025827708708897387,0.9933203655448306,0.9933208266375682,1.764841258097362,0.8066142666468931,0.80674275164311,7.43983083453195e-05
68,0.025816186623217767,0.9931735603919698,0.9931779028808696,1.746655567944177,0.8027584161352513,0.8029218173076766,7.039389415063998e-05
